	0	1	2	3
0	1004811047067238400	Kim Kardashian West	2018-06-07 19:43:16	Love 💋 https://t.co/Z4k2zoFpXk
1	1004789775029690368	Kim Kardashian West	2018-06-07 18:18:45	How I do cheat meals the right way https://t.co/9EA2kD3hDS
2	1004759729573261312	Kim Kardashian West	2018-06-07 16:19:21	8 Nude Lipsticks &amp; 3 Nude Lip Liners launch tomorrow, 6/8 at 12PM PST at https://t.co/PoBZ3bhjs8 https://t.co/jKi35qai7v
3	1004759540519223296	Kim Kardashian West	2018-06-07 16:18:36	8 Nude Lipsticks &amp; 3 Nude Lip Liners launch tomorrow, 6/8 at 12PM PST at https://t.co/PoBZ3bhjs8 https://t.co/RItXnKQp7V
4	1004724454696497153	Kim Kardashian West	2018-06-07 13:59:11	💋💋💋 https://t.co/gtQ8eP3Yni
5	1004710293472083969	Kim Kardashian West	2018-06-07 13:02:55	❤️ https://t.co/8UGEkEmYZ5
6	1004427623148277766	Kim Kardashian West	2018-06-06 18:19:41	💕💕💕 https://t.co/UKxhnmRgVW
7	1004426873030479877	Kim Kardashian West	2018-06-06 18:16:42	The phone call I just had with Alice will forever be one of my best memories. Telling her for the first time and he… https://t.co/ruwe4M0q8m
8	1004412177376333829	Kim Kardashian West	2018-06-06 17:18:18	I hope to continue this important work by working together with organizations who have been fighting this fight for… https://t.co/cnAoA7kPmY
9	1004412120795172866	Kim Kardashian West	2018-06-06 17:18:05	So grateful to @realDonaldTrump, Jared Kushner &amp; to everyone who has showed compassion &amp; contributed countless hour… https://t.co/bDWpuZVt0y
10	1004398935534948353	Kim Kardashian West	2018-06-06 16:25:41	BEST NEWS EVER!!!! 🙏🏼🙏🏼🙏🏼                    https://t.co/JUbpbE1Bk0
11	1004150348616028161	Kim Kardashian West	2018-06-05 23:57:53	How amazing is this 10 year old DJ LIVIA who DJ’d the girls birthday party 💗🦄❄️💕✨ https://t.co/JcgfvTcE4J
12	1004126204478320640	Kim Kardashian West	2018-06-05 22:21:57	❤️ @cfda ❤️ https://t.co/JvDx9Pb5Kg
13	1004125541019078656	Kim Kardashian West	2018-06-05 22:19:19	OMG thank you for making this sweet video ❤️ https://t.co/LzfM5PenPK
14	1004109825343737857	Kim Kardashian West	2018-06-05 21:16:52	Everything I wore in May https://t.co/bT5ro4yMvG
15	1004057132956712960	Kim Kardashian West	2018-06-05 17:47:29	How to re-create my CFDA Awards hair https://t.co/OuQR6fbwdp
16	1004043779949543424	Kim Kardashian West	2018-06-05 16:54:26	3 more days until my 8 Nude Lipsticks &amp; 3 Lip Liners launch on @kkwbeauty!!! Be the first to be notified when they’… https://t.co/t5SeeAHqoR
17	1003984554795962370	Kim Kardashian West	2018-06-05 12:59:05	6 am call time is tough going on no sleep but Steven Klein is worth it! #NewShootAlert
18	1003699679761190916	Kim Kardashian West	2018-06-04 18:07:06	Can’t wait for my nude lips to drop June 8th!!!!! https://t.co/sbyklMyGm6 (This is lipstick shade 6 and lip liner 2) https://t.co/SWauTRWJqn
19	1003677240696147968	Kim Kardashian West	2018-06-04 16:37:56	Win a set of @kkwbeauty KKW x ARGENIS Color Crème Sticks! https://t.co/szYXpz5Dm8
20	1003672561119473664	Kim Kardashian West	2018-06-04 16:19:20	So honored to receive the first @CFDA Influencer Award tonight! Watch the #cfdaawards and Red Carpet tonight at 6PM… https://t.co/KIXRrNS8q3
21	1003449600475197440	Kim Kardashian West	2018-06-04 01:33:22	Shade 6 with lip liner 2 https://t.co/tOveJ0GViS
22	1003444530983497729	Kim Kardashian West	2018-06-04 01:13:13	https://t.co/mok7OD7Eim
23	1003157787138928641	Kim Kardashian West	2018-06-03 06:13:48	YE #1 in 41 countries on iTunes!!! https://t.co/5lUJo8ZVrS
24	1002924934169968641	Kim Kardashian West	2018-06-02 14:48:32	💕 https://t.co/kP3IHCIVEW
25	1002702260399366144	Kim Kardashian West	2018-06-02 00:03:42	Shades 1-8. Learn more about the new @kkwbeauty Creme Lipsticks &amp; Lip Liners on https://t.co/PoBZ3bhjs8! Launching… https://t.co/oKJvfSC53a
26	1002686346782298112	Kim Kardashian West	2018-06-01 23:00:28	Support #PrideMonth!! https://t.co/pRi3Huw6aH
27	1002668337292304389	Kim Kardashian West	2018-06-01 21:48:54	The beauty products you should try this month https://t.co/oPIZiPkTM3
28	1002646682088230912	Kim Kardashian West	2018-06-01 20:22:51	My trick for brightening dark under-eyes https://t.co/SJEM42PJAz
29	1002612594845323264	Kim Kardashian West	2018-06-01 18:07:24	The TV show I love to binge-watch https://t.co/EueBrwuSpE
30	1002603965723209729	Kim Kardashian West	2018-06-01 17:33:07	Giveaway happening on the @kkwbeauty Instagram!! https://t.co/J4VJvjreZJ https://t.co/lYjpyWJLVk
31	1002576345249955840	Kim Kardashian West	2018-06-01 15:43:22	https://t.co/7LJJAKVlze
32	1002428867334688768	Kim Kardashian West	2018-06-01 05:57:20	Kanye shot the album cover on his iPhone on the way to the album listening party 😂🔥❤️🔥🙏🏼🔥
33	1002363943417856005	Kim Kardashian West	2018-06-01 01:39:21	On our way! #YE
34	1002316557110792192	Kim Kardashian West	2018-05-31 22:31:04	So excited to be speaking at @beautycon on the Main Stage on Sunday, 7/15! Who else is going to #BeautyconLA?​For… https://t.co/s2BOscyk3p
35	1002261344706494464	Kim Kardashian West	2018-05-31 18:51:40	The perfect no-makeup makeup for summer https://t.co/3ZRKtSf7QP
36	1002241963704365057	Kim Kardashian West	2018-05-31 17:34:39	The best hair products for your hair type https://t.co/c5jCkswDE7
37	1002008305588371456	Kim Kardashian West	2018-05-31 02:06:11	We are optimistic about Ms. Johnson’s future and hopeful that she —and so many like her—will get a second chance at life.
38	1002007628501934083	Kim Kardashian West	2018-05-31 02:03:29	I would like to thank President Trump for his time this afternoon. It is our hope that the President will grant cle… https://t.co/TIdZBBKtHB
39	1001823217219129344	Kim Kardashian West	2018-05-30 13:50:42	Happy Birthday Alice Marie Johnson. Today is for you 🙏🏼✨
40	1001682780038881282	Kim Kardashian West	2018-05-30 04:32:39	💕 https://t.co/Z20SWuPwtB
41	1001671961792180224	Kim Kardashian West	2018-05-30 03:49:40	LOL! @kandeejohnson transformed me into Princess Jasmine!! North and Ryan didn’t buy it 😂 https://t.co/YM9QYozC1U
42	1001573229079625728	Kim Kardashian West	2018-05-29 21:17:20	@KimKDelRey UGH also sorry!!!!! I don’t even know how this happened!!!
43	1001562156356292609	Kim Kardashian West	2018-05-29 20:33:20	How I maximize fat loss https://t.co/Bvgpz1QerJ
44	1001518378069118976	Kim Kardashian West	2018-05-29 17:39:23	June 8 at 12PM PST only at https://t.co/PoBZ3bhjs8 https://t.co/KAF5J1bPva
45	1001518215137185792	Kim Kardashian West	2018-05-29 17:38:44	Creme Lipsticks &amp; Lip Liners @kkwbeauty https://t.co/PJG7vo8qnA
46	1001518023516172288	Kim Kardashian West	2018-05-29 17:37:58	Coming to https://t.co/PoBZ3bhjs8 on June 8 @kkwbeauty https://t.co/qyucLKu5Eb
47	1001493471939649536	Kim Kardashian West	2018-05-29 16:00:25	June 8 @kkwbeauty lipsticks &amp; liners https://t.co/dzcjeVnije
48	1001493358395572225	Kim Kardashian West	2018-05-29 15:59:58	Lipsticks @kkwbeauty https://t.co/6LuoaNxGRb
