	0	1	2	3
0	1004830472126410752	christine teigen	2018-06-07 21:00:28	@sumcallmeclancy @johnlegend Damn, Liam. This is vivid.
1	1004821855247597568	christine teigen	2018-06-07 20:26:13	@hockeytape I didn’t want you to think I meant tape them to the net so I wanted to make it clear it is only the goal hole part
2	1004819257786396672	christine teigen	2018-06-07 20:15:54	@Oli_Pettigrew 😩 it is my curse
3	1004818848774647808	christine teigen	2018-06-07 20:14:16	@HeatherBurns @johnlegend Yayyyy go big boy!
4	1004818290349244417	christine teigen	2018-06-07 20:12:03	@Krhddg I actually thought about that. Not all cousin marriers are bad okay!
5	1004817755965538304	christine teigen	2018-06-07 20:09:56	Yes tape 15 or so to the goal hole https://t.co/yJWgXoVBXo
6	1004817460812345344	christine teigen	2018-06-07 20:08:45	Saying “yeah well you married your cousin” to any ridiculous thing Rudy Guiliani says is always the best thing to s… https://t.co/DNxdnH7s25
7	1004816052335726592	christine teigen	2018-06-07 20:03:10	You cannot win on this god forsaken app https://t.co/a1Gzsozn7a
8	1004784896504573953	christine teigen	2018-06-07 17:59:21	@flydebs54 @RyanMiller3039 YEP
9	1004784745467613184	christine teigen	2018-06-07 17:58:45	Oh I don’t care about being blocked. Hence why I wasn’t involved in the lawsuit. But we should be able to read HIS… https://t.co/t6Y6Jq63Lc
10	1004768386427940864	christine teigen	2018-06-07 16:53:45	@kixxonlee @irenicpoet @ebysta @_melp0mene I am a shit ton of things. I can be annoying to people, petty, ugly, ove… https://t.co/VRFOK1brjZ
11	1004767692530651136	christine teigen	2018-06-07 16:51:00	@kixxonlee @irenicpoet @ebysta @_melp0mene Kanye supports him. And we were very vocal about challenging that. To hi… https://t.co/Wdblt7zFyI
12	1004767491946471424	christine teigen	2018-06-07 16:50:12	@kixxonlee @irenicpoet @ebysta @_melp0mene Twitter is for chirping. It is literally for that. I can start being mor… https://t.co/U3k8fXdN7J
13	1004763924925857794	christine teigen	2018-06-07 16:36:01	@irenicpoet @ebysta @kixxonlee @_melp0mene You can’t win here. Donate money and it’s not enough money. Fly to Washi… https://t.co/TBKuKsvspx
14	1004761262864007168	christine teigen	2018-06-07 16:25:27	@HelloFresh @AWyke0225 @carlahall @chefsymon @clinton_kelly OOOOOO @BLUEAPRON HELLO FRESH IS IN MY MENCHIES fight fight fight
15	1004755607054766080	christine teigen	2018-06-07 16:02:58	@RyanMiller3039 @KeithOlbermann I mean at least TRY it
16	1004711044319666178	christine teigen	2018-06-07 13:05:54	@hockeyswift14  https://t.co/X2Tx0V8Nlx
17	1004642456636293120	christine teigen	2018-06-07 08:33:21	@andylassner who knew 30 miles could pose such a difference in attitudes!?
18	1004637431151222786	christine teigen	2018-06-07 08:13:23	@eponawest @holly I found so many new people to follow from this thread and its comments!
19	1004633614682763265	christine teigen	2018-06-07 07:58:13	@travis_neill Same!!! (TY 😊😊😊😊😊)
20	1004633349804027905	christine teigen	2018-06-07 07:57:10	@_pooopie 🙏🏼❤️🙏🏼❤️
21	1004631267244048384	christine teigen	2018-06-07 07:48:53	@empoor @AlexCard31 @RyanMiller3039 why are these people so. exhausting. lol
22	1004627753205809153	christine teigen	2018-06-07 07:34:56	Changed my bio @RyanMiller3039
23	1004625236912795648	christine teigen	2018-06-07 07:24:56	@BobBrigham thank u, bob!
24	1004625048705986560	christine teigen	2018-06-07 07:24:11	@JRoc23 Ugh should have said “about my face” haha
25	1004623437460058112	christine teigen	2018-06-07 07:17:47	Today was your original due date but you heard… https://t.co/mdC5Vd6lkF
26	1004621386633994241	christine teigen	2018-06-07 07:09:38	@ziemer27 @AmirTalai @JennaaMarieee All good! I’ve been on here long enough to know better - I didn’t think the fuc… https://t.co/yacHmEfTcK
27	1004620616408883200	christine teigen	2018-06-07 07:06:34	@hlsmith_2 😩 lol
28	1004620390985945088	christine teigen	2018-06-07 07:05:40	@AmirTalai @JennaaMarieee @ziemer27 Def not offended! Just always surprised at the difference in mentions from angr… https://t.co/wRTBe47l7k
29	1004619586610663424	christine teigen	2018-06-07 07:02:29	@VinBioDiesel VENUS4EVER
30	1004619463113621504	christine teigen	2018-06-07 07:01:59	Yep every other book is a best seller. You should write a book of more random facts that are definitely true! Maybe… https://t.co/TlXsQNU15V
31	1004614666385887233	christine teigen	2018-06-07 06:42:55	Do not joke about men or sports, for real. Thank you for opening up my mentions to the SHAMBLES that is angry hocke… https://t.co/3ABIhyrWFd
32	1004533266999738368	christine teigen	2018-06-07 01:19:28	@KatieBrenz Er recipe
33	1004533011948294145	christine teigen	2018-06-07 01:18:28	@KatieBrenz Lol I got a box of my own re pie, pretty dope
34	1004532692124225536	christine teigen	2018-06-07 01:17:11	@annemarie9307 😩 that makes me so happy. Thank you!!
35	1004532250132692992	christine teigen	2018-06-07 01:15:26	@Fatassery @chefcapon 😩🤣
36	1004532073753800704	christine teigen	2018-06-07 01:14:44	@MissW @blueapron I’m glad you love!!
37	1004532013246791680	christine teigen	2018-06-07 01:14:29	@carolynewilson @blueapron Yay!! Looking good!!
38	1004531845961093120	christine teigen	2018-06-07 01:13:50	Yesss girl, looks perfect!! I’m makin my box tomorrow! https://t.co/7MsN6eDsdu
39	1004531438136381440	christine teigen	2018-06-07 01:12:12	@mmzanotti Looks perfect!!
40	1004530090934353920	christine teigen	2018-06-07 01:06:51	You still got the duck lasagna @chefcapon?? https://t.co/tP0KllSezj
41	1004436657712459777	christine teigen	2018-06-06 18:55:35	@Heelysworldwide I'm 32, heelys
42	1004384228128112641	christine teigen	2018-06-06 15:27:15	Just know this is his official birthday card so make sure it’s from the heart! Happy Birthday, champ.
43	1004384225452175360	christine teigen	2018-06-06 15:27:14	Hey guys, let’s put the jokes aside and all come together to send president trump some birthday messages on this of… https://t.co/G7HgZKqlAa
44	1004219845599113218	christine teigen	2018-06-06 04:34:03	@ParkerMolloy @angryasianman whaaaaaat the fuck is this. No way.
45	1004174898757959687	christine teigen	2018-06-06 01:35:27	@MADfballista @jennyfleishhack @RVAwonk You’re a woman saying things like that? Even worse.
46	1004164984723537921	christine teigen	2018-06-06 00:56:03	@MADfballista @RVAwonk @kumailn a sports guy every. fucking. time.
47	1004083983561338880	christine teigen	2018-06-05 19:34:11	The god damn president is such. A fucking. Petty. And fragile. Brat. https://t.co/IVbB4AC8Kb
48	1003904577698033665	christine teigen	2018-06-05 07:41:17	@mamazon @Target Shiiiiiit those are perfect!!
49	1003840662507098112	christine teigen	2018-06-05 03:27:19	@aliaemily @GenePark Still blocked. Lol
50	1003817453011398656	christine teigen	2018-06-05 01:55:05	really having a lot of trouble finding a pair of subtle adult rollerblades
51	1003800887716769794	christine teigen	2018-06-05 00:49:16	@kumailn TURD GARGLERS! 😩🤣
52	1003796602786590721	christine teigen	2018-06-05 00:32:14	guess we’re really doing this kid thing! https://t.co/jS9FBm2mC2
53	1003748390092435456	christine teigen	2018-06-04 21:20:39	It’s called empathy. I wouldn’t be so proud to not know it, Holtzman. https://t.co/wofPutSmnC
54	1003734421214621696	christine teigen	2018-06-04 20:25:09	ours too! finally, something in common. https://t.co/TwXTVfYUZG
55	1003477024936112128	christine teigen	2018-06-04 03:22:21	@undimmedheart 3 weeks early, 4.5 pounds! my nugget. &lt;3
56	1003476254866063360	christine teigen	2018-06-04 03:19:17	@ucsbman us too! he is swimming around in newborn, feet flopping!
57	1003473315141332992	christine teigen	2018-06-04 03:07:36	nothing fits my teenie premie :( not enough stuff out there! I gotta learn to sew. miles is tired of your body shaming, society!
58	1003464806869811202	christine teigen	2018-06-04 02:33:48	I can confirm Angela’s food is awesome! https://t.co/BZATpAt7tP
59	1003444053701083136	christine teigen	2018-06-04 01:11:20	@queenreg1na @blueapron 🙏🏼 yessss thank you for picking my recipes!!
60	1003442658285502464	christine teigen	2018-06-04 01:05:47	basketball is so weird in that apparently it’s only a shitty call when it’s against the team you like ??? learning from john
61	1003369076364701697	christine teigen	2018-06-03 20:13:24	@69mynamejeff69 you are a very good and kind friend, Jeff.
62	1003368178909450240	christine teigen	2018-06-03 20:09:50	@ahale looks perfect!!
63	1003325219510018048	christine teigen	2018-06-03 17:19:07	@blahmandy ohhhhhh wow
64	1003323333385973761	christine teigen	2018-06-03 17:11:38	@69mynamejeff69 I'm going to need Pamela's credentials. what if she's a white supremacist? the school bully? tattoo… https://t.co/ET5aAJb5Ed
65	1003321875739521026	christine teigen	2018-06-03 17:05:50	@Hymnths seriously yes
66	1003312229259739137	christine teigen	2018-06-03 16:27:30	@marmaid88 @RyanHaarer @jeremyjojola @FBI @DenverPolice Dammit
67	1003297428529790976	christine teigen	2018-06-03 15:28:41	@whyofcorso @r_wolfcastle @kellyawilliams1 @Leetha @Nicole_Cliffe mine was @mindykaling and @ava!
68	1003225180188000257	christine teigen	2018-06-03 10:41:36	@therealjesslav @LAKings thank you. you get it.
69	1003224402312380417	christine teigen	2018-06-03 10:38:31	@LAKings I ran some numbers and if you lay on your side and lift your top leg up and down the entire game, you stop… https://t.co/EQjr0Atsid
70	1003223519855906817	christine teigen	2018-06-03 10:35:00	@LAKings Yes WAIT TIL YOU SEE THIS. you won’t regret it. I’m gonna be like that guy who tried out for the NFL at 30… https://t.co/9i8hk9wZxW
71	1003106193462554624	christine teigen	2018-06-03 02:48:47	I can*
72	1003105613486755840	christine teigen	2018-06-03 02:46:29	I feel like can absolutely be a hockey goalie
73	1002959154833575936	christine teigen	2018-06-02 17:04:31	Got my new @becca_cosmetics Be a Light… https://t.co/Wj5N7RQO3z
74	1002787549562142721	christine teigen	2018-06-02 05:42:37	I don’t know https://t.co/ZBCxvCiLHo
75	1002786103353597954	christine teigen	2018-06-02 05:36:52	slayin alive slayin alive… https://t.co/HRofWnGXLr
76	1002725809956638720	christine teigen	2018-06-02 01:37:17	enclyclopedia brown cruisin the daily mail comments today https://t.co/HAJzb4uMn6
77	1002709635311124482	christine teigen	2018-06-02 00:33:01	TYRA MAAAAAAIL https://t.co/HZuwnwaWJP
