	0	1	2	3
0	1004561635153883136	KANYE WEST	2018-06-07 03:12:12	https://t.co/ssV4UeFpiL
1	1004342273071505408	KANYE WEST	2018-06-06 12:40:32	https://t.co/r2idQETRCQ
2	1004221826438844416	KANYE WEST	2018-06-06 04:41:55	https://t.co/bYVgnuMASB
3	1004207627469914112	KANYE WEST	2018-06-06 03:45:30	🙏🙏🙏    all love to her family https://t.co/p3cu3CUdw5
4	1004193086321221633	KANYE WEST	2018-06-06 02:47:43	#1 in 83 countries 🙌🙌🙌  https://t.co/Z8FC9LPL7W
5	1004156527563890689	KANYE WEST	2018-06-06 00:22:27	https://t.co/FQUdTnViNC
6	1003701315032059905	KANYE WEST	2018-06-04 18:13:36	I feel so blessed.  For everyone that didn't turn they back. I'm in tears right now. I love all of you https://t.co/8jwIALBsDu
7	1003144845597159424	KANYE WEST	2018-06-03 05:22:23	😍😍😍 https://t.co/PfxbSlZTNw
8	1003055635317993472	KANYE WEST	2018-06-02 23:27:53	For all my dogs that stayed down, we up again 🙌🙌🙌 https://t.co/HSSyZeTI30
9	1003046107125968896	KANYE WEST	2018-06-02 22:50:02	https://t.co/mramWmhY1S
10	1002784133888688128	KANYE WEST	2018-06-02 05:29:03	I’ve never been about beef    I’m about love    lines were crossed and it’s not good for anyone    so this is dead now
11	1002752118032293888	KANYE WEST	2018-06-02 03:21:49	https://t.co/gtu95VUe64
12	1002738977026109445	KANYE WEST	2018-06-02 02:29:36	https://t.co/ngNMZjM7tN
13	1002642030239969281	KANYE WEST	2018-06-01 20:04:22	https://t.co/SScskeUWQshttps://t.co/qMCfkQTjLyhttps://t.co/pa0iHEIdZT
14	1002638729259843585	KANYE WEST	2018-06-01 19:51:15	https://t.co/xYu7lH1rZ7
15	1002352319239839744	KANYE WEST	2018-06-01 00:53:10	Download the @WAV_Media app https://t.co/HxSvFHiSrY  to watch the livestream of my album listening tonight in Jackson Hole, Wyoming 7PM MDT
16	999901094355464192	KANYE WEST	2018-05-25 06:32:52	https://t.co/3YFh8MIHIH
17	999878225323999232	KANYE WEST	2018-05-25 05:02:00	New  Flacko 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/F3lAEVGX4A
18	999877650087690240	KANYE WEST	2018-05-25 04:59:43	https://t.co/QAZmYHt4eA
19	999813894796267521	KANYE WEST	2018-05-25 00:46:22	🔥🔥🔥 This is one of my favorite moments. https://t.co/LLhZlU7fAG
