	0	1	2	3
0	1004779315194683392	Mia K.	2018-06-07 17:37:11	The other 23 courses didn’t fit in the tweet https://t.co/KnDk0nqiOk
1	1004766690289291264	Mia K.	2018-06-07 16:47:01	@ThePhenomenalEE There was 24 courses
2	1004765709728133121	Mia K.	2018-06-07 16:43:07	🍴 https://t.co/bMHKgH2si9
3	1004641964418125824	Mia K.	2018-06-07 08:31:24	🍴 https://t.co/jYKtLNtqzn
4	1004461040627847168	Mia K.	2018-06-06 20:32:28	So anyway, here are a few dishes from my beautiful meal at Amass in Copenhagen 😂 https://t.co/1YWwXVxrIl
5	1004460368658419713	Mia K.	2018-06-06 20:29:48	When your man asks you how dinner is going, and you give him your cold-hearted review of every flaw of each dish.… https://t.co/JI0iL3vLPr
6	1003997200576204800	Mia K.	2018-06-05 13:49:20	@weter_pron Tell your groomsmen the same thing
7	1003997180238053377	Mia K.	2018-06-05 13:49:15	Quick update on my life: I’m making foi gras butter in a Michelin starred restaurant on a Tuesday. https://t.co/Nc67fCAXQb
8	1003995386749468674	Mia K.	2018-06-05 13:42:08	@weter_pron LMFAO not that well
9	1003885702474543104	Mia K.	2018-06-05 06:26:17	I’m in love, I’m eating good, and my Washington Capitals are up 3-1 in the Stanley Cup Finals. 2018 is my fucking year.
10	1003533093809131520	Mia K.	2018-06-04 07:05:08	Crossing the street in Copenhagen: look leftlook rightlook leftlook rightlook uplook downlook left one more… https://t.co/APPGfvH6oi
11	1002832732345466880	Mia K.	2018-06-02 08:42:09	Helsinki, you’re beautiful. I want to come back and spend a week here!!! Mainly because passport customs took less… https://t.co/BYhcGGyWCF
12	1002610285038002178	Mia K.	2018-06-01 17:58:14	Me: “I’m not high maintenance”Also me: *gets hair done to sit on a plane for 11 hours* https://t.co/7npG36QxtA
13	1002384828426260481	Mia K.	2018-06-01 03:02:21	@OliverHeldens Love you, Oli!!! Thank you!!
14	1002305614859657217	Mia K.	2018-05-31 21:47:35	Sure are https://t.co/LYwsWslJnL
15	1002303452205154305	Mia K.	2018-05-31 21:38:59	I don’t want to leave for dinner tonight let alone check out tomorrow. @WCityCenter is an absolute DREAM #adv https://t.co/wB5SbBIr1V
16	1002266713126301697	Mia K.	2018-05-31 19:13:00	@britweisman Sup
17	1002260572493230087	Mia K.	2018-05-31 18:48:36	Cc: Braden Holtby https://t.co/QmCOnCi9wn
18	1002212878756270080	Mia K.	2018-05-31 15:39:05	Bye, Austin... see you in 2 weeks. The food tour begins tonight!
19	1001480364840312834	Mia K.	2018-05-29 15:08:20	@Iam_Trident Omg i was telling Jeff how my favorite non-hockey hockey thing is refs jumping over pucks 😂 it brings me so much joy
20	1001452539995242496	Mia K.	2018-05-29 13:17:46	I hate you for making me endure this awful city, @NHLJets https://t.co/r144xtYzom
21	1001449381910822912	Mia K.	2018-05-29 13:05:13	@ChristianLN0821 @ThatKevinSmith Me too!!!!
22	1001332014585278464	Mia K.	2018-05-29 05:18:50	@marcbernardin @ThatKevinSmith I know!!!!!!!
23	1001330640451657728	Mia K.	2018-05-29 05:13:23	It was a beautiful meal, with incredible hospitality, until dessert came courtesy of the chef https://t.co/f2w2O12GTj
24	1001328361191309312	Mia K.	2018-05-29 05:04:19	The Caps lost, but I won. Thank you for being so nice while I fangirled @ThatKevinSmith https://t.co/KYQu0sDW7y
25	1001306059292655616	Mia K.	2018-05-29 03:35:42	So glad I emptied Jeff’s 401K from the business account to watch this game in person 🙄
26	1001293995442487296	Mia K.	2018-05-29 02:47:46	I’ve watched this on a loop about 600 times, and I’m at the game https://t.co/4WFhNX7Ky5
27	1001293629330096128	Mia K.	2018-05-29 02:46:19	Tommy boy, you can do whatever you want https://t.co/MGsKX160Pi
