	0	1	2	3
0	1004811427423686657	Tyler, The Creator	2018-06-07 19:44:47	good day sir
1	1004811134782885888	Tyler, The Creator	2018-06-07 19:43:37	IM NOT COUNT OLAF
2	1004811053321113600	Tyler, The Creator	2018-06-07 19:43:18	see if i was tryna relate to more people i would say im struggling with loving myself because that seems like a com… https://t.co/VJwHbgIp2V
3	1004477408748146689	Tyler, The Creator	2018-06-06 21:37:31	el golf wango es updateo golfwang dot tumblr dot com
4	1004445132173737986	Tyler, The Creator	2018-06-06 19:29:15	my friend @CasteIIanos did this video: https://t.co/Z3OxB4vYi5
5	1003188681686028288	Tyler, The Creator	2018-06-03 08:16:34	if you haven't seen this, watch  https://t.co/cL8UpJpthO
6	1003116480593055745	Tyler, The Creator	2018-06-03 03:29:40	he was all furry: warsaw, poland https://t.co/8kQRAouSOc
7	1003111339265585152	Tyler, The Creator	2018-06-03 03:09:14	https://t.co/1F3aezMI2B
8	1003109041990758400	Tyler, The Creator	2018-06-03 03:00:07	they dont like you they like a version of you and when you aint that version its the end of the world ahhhhh
9	1003108661366059009	Tyler, The Creator	2018-06-03 02:58:36	all my favorite artist switch it up every project i love it thank you
10	1003107756805644288	Tyler, The Creator	2018-06-03 02:55:00	i miss this i miss old ___ - you know, legit everything you like from whatever time period ( interviews, photos,… https://t.co/3Nuq4dk80D
11	1002986180508610560	Tyler, The Creator	2018-06-02 18:51:54	peach cobbler https://t.co/HEXIltHaMY
12	1002932781738086400	Tyler, The Creator	2018-06-02 15:19:43	if you didnt get shoes, its some at various shoe retail locations ( footlockers and some others) 🙃
13	1002555577283829760	Tyler, The Creator	2018-06-01 14:20:50	https://t.co/7zkve1HUmL
14	1002553715537121285	Tyler, The Creator	2018-06-01 14:13:26	350 N FAIRFAX WILL ALSO HAVE THEM
15	1002551084416724992	Tyler, The Creator	2018-06-01 14:02:59	GOLF le FLEUR* - https://t.co/56yIKP3khQ / https://t.co/vJkGDOqfrG https://t.co/EjRRt7jG9i
16	1002543492520914944	Tyler, The Creator	2018-06-01 13:32:49	shoes come in 30
17	1002407178186174465	Tyler, The Creator	2018-06-01 04:31:09	630am in spain i just yelled when the note changed sheesh that was jimmy jam territory
18	1002406182001299456	Tyler, The Creator	2018-06-01 04:27:12	omg sem chords fuck wow
19	1002290418162290692	Tyler, The Creator	2018-05-31 20:47:12	GOLF le FLEUR* friday/june 1st : https://t.co/fLQ9Jdn1bK - https://t.co/vJkGDOqfrG https://t.co/Zb0kLujaCH
20	1001916464545325058	Tyler, The Creator	2018-05-30 20:01:14	friday; june1st; GOLF le FLEUR* https://t.co/FKl49gWpjI
21	999882891516559366	Tyler, The Creator	2018-05-25 05:20:32	https://t.co/OiQTiSvtDi
22	999486001776025600	Tyler, The Creator	2018-05-24 03:03:27	used to? 435 out now stop acting acting like the orgy line aint crazy https://t.co/33kekozfi2
23	999361709742567425	Tyler, The Creator	2018-05-23 18:49:33	mother!
24	999331345808551936	Tyler, The Creator	2018-05-23 16:48:54	for blogs and all that, would appreciate if you used the photos i posted, idk who took those ones with the flowers,… https://t.co/JdILY2BLGV
25	999322521806684161	Tyler, The Creator	2018-05-23 16:13:50	https://t.co/vzqqBzOyUC
26	999319368927363072	Tyler, The Creator	2018-05-23 16:01:18	GOLF le FLEUR* cc: CONVERSE - JUNE 1st https://t.co/frwiX8Cnvz
27	998986777997131776	Tyler, The Creator	2018-05-22 17:59:42	still has my heart https://t.co/bNlDSaDob5
28	998955014130286594	Tyler, The Creator	2018-05-22 15:53:29	see you at Sasquatch, Boston Calling and Soundset this weekend
29	998954795162419201	Tyler, The Creator	2018-05-22 15:52:37	idk how i woke up healthy the sun is out i can go do what i want ewwww just cause you cant relate you walking youtu… https://t.co/jPxTXJKJ9a
30	998947232123568130	Tyler, The Creator	2018-05-22 15:22:34	good day sir
31	998946932012675073	Tyler, The Creator	2018-05-22 15:21:22	435 https://t.co/HgVvxBRhVn
32	997991010146762752	Tyler, The Creator	2018-05-20 00:02:53	sometimes i just wanna jump around and dance sometimes
33	997915784872538112	Tyler, The Creator	2018-05-19 19:03:58	NO VIOLENCE: a line from OKRA - available now: https://t.co/56yIKOLITg https://t.co/kRxW9ZPFuc
34	997673527900700673	Tyler, The Creator	2018-05-19 03:01:19	@UniqloUSA JUST MAKE THESE IN WHITE AGAIN I DONT LIKE THEM DAMN CHURCH SOCKS https://t.co/p6HTgy6oIr
35	997527908070572032	Tyler, The Creator	2018-05-18 17:22:41	https://t.co/t38f5dFklh
